Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C16, C17, C18, C19, C2, C3, C4, C6, C8",0603,15,0.1u,
"C15, C9",0603,2,2.7n,
"C5, C7",0603,2,10u,
D1,D_SOD-123,1,SS14,SS14
D2,0805,1,LTST-C170CKT,LTST-C170KFKT
J1,TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,1,9V_CONN,
"J2, J3",LINX_CONBNC001,2,CONBNC001,
R1,0603,1,100,
"R10, R11, R12, R13, R14, R15, R3, R4, R5, R6, R7, R8",0603,12,1k,
"R16, R9",0603,2,117,
R2,0603,1,560,
S1,SW_JS202011SCQN,1,JS202011SCQN,
"S2, S3, S4",SW_KMR731NGLFS,3,KMR731NGLFS,
U1,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,
U2,PinHeader_1x14_P2.54mm_Vertical,1,ILI9341-320x240-TFT-Touch,
U3,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,
"U4, U6",SOT95P280X145-5N,2,OPA192IDBVR,
"U5, U7",LFCSP-16-1EP_4x4mm_P0.65mm_EP2.6x2.6mm,2,ADS7279IPW,
"VR1, VR2, VR3, VR4, VR5, VR6",TRIM_3362P-1-103LF,6,3362P-1-103LF,
